caseyjo5,748,Entertainment,627,240,4.48,31,70
HellionExciter,748,Music,287,1496,3.63,105,70
RomneyWordsworth,747,News & Politics,197,5394,3.33,12,70
kotasHQ,747,Gadgets & Games,384,950,4.97,38,69
battim,747,Comedy,285,476,4.81,21,68
thevinerhyme,748,People & Blogs,597,157,2.83,12,62
brettkeane,748,People & Blogs,481,685,4.59,56,63
jenluv37,748,Entertainment,851,346,4.65,46,64
theboringdispatcher,748,People & Blogs,150,1546,4.39,72,63
anafree,747,Music,200,2134,4.25,89,63
Daylow,747,Music,244,227,5.0,13,59
els666,748,Music,266,2328,4.62,32,59
AericWinter,748,People & Blogs,587,337,4.8,30,59
kingcharlemagne23,747,People & Blogs,349,326,4.82,17,57
els666,748,People & Blogs,595,2137,4.69,32,56
curt344,747,Travel & Places,352,134,4.86,14,55
nayders07,748,People & Blogs,125,479,4.63,35,54
sumfight,748,People & Blogs,115,326,4.59,17,54
EA,748,Gadgets & Games,60,3615,4.71,7,10
EA,748,Gadgets & Games,60,1466,3.86,7,9
EA,748,Gadgets & Games,87,1191,3.4,5,14
EA,748,Gadgets & Games,60,1808,4.55,11,8
EA,743,Gadgets & Games,29,248,4.2,5,1
EA,743,Gadgets & Games,29,420,3.67,6,2
EA,743,Gadgets & Games,29,243,4.0,4,2
EA,743,Gadgets & Games,29,225,3.0,2,1
EA,743,Gadgets & Games,29,476,5.0,1,0
EA,743,Gadgets & Games,29,230,5.0,2,1
EA,743,Gadgets & Games,29,331,3.67,3,1
EA,743,Gadgets & Games,29,197,5.0,1,0
EA,743,Gadgets & Games,29,97,0.0,0,0
hustla6190,748,Music,171,2253,4.83,12,9
pointdexter224,721,Music,247,5513,5.0,15,12
illRoots,748,Music,170,228,4.67,3,1
RapBlueprintCom,748,Music,170,396,5.0,1,0
ChronicCast,749,Entertainment,188,400,5.0,1,2
RapGodFathers1,749,Music,171,310,0.0,0,0
emurami,724,Music,250,8055,4.96,25,11
Snorlax637,749,Music,170,90,0.0,0,1
TheHoodSupplyer,748,Music,170,186,0.0,0,2
GrrlWonder,741,Entertainment,70,517,5.0,1,0
JbpJuice,749,Music,171,13,0.0,0,0
Punisher31313,748,Film & Animation,302,1949,5.0,8,2
DoubleDammit,670,Comedy,68,1995,2.0,34,21
DaxFoxPie,745,Film & Animation,203,511,4.0,3,1
Rubeus2006,680,Entertainment,100,806,3.67,3,0
Gimper5,748,Entertainment,191,342,4.78,9,2
elpadrino23,650,Entertainment,187,9205,4.72,29,13
sharlei2,661,Entertainment,150,8681,5.0,23,17
Elginmusic,730,Music,124,704,4.0,5,3
JD2XS,638,Entertainment,30,1250,3.33,3,1
Dymez513,728,News & Politics,321,371,0.0,0,0
Josefsing,748,Music,221,75,5.0,2,2
uristeph4eva,410,Music,241,20827,4.82,57,24
cicsprd,704,Entertainment,197,187629,2.5,8,5
cicsprd,670,Entertainment,80,51838,0.0,0,1
cicsprd,621,Entertainment,17,171649,2.0,9,0
bigwilliams1989,719,Entertainment,21,33793,3.67,3,2
cicsprd,606,Sports,8,167443,1.3,10,0
sexii4949,738,People & Blogs,132,73662,4.55,11,0
sexii2929,738,People & Blogs,41,54588,2.73,15,3
sexii1919,738,People & Blogs,78,42610,4.0,8,1
sexii4949,0,UNA,163,23500,4.31,16,2
sexii1919,740,People & Blogs,87,18207,4.0,4,0
sexii4949,0,UNA,169,11561,4.57,14,1
sexii1919,738,People & Blogs,62,9729,5.0,2,0
sexii2929,738,People & Blogs,31,23401,3.25,8,0
sexii1919,738,People & Blogs,55,10552,5.0,1,0
sexii2929,738,People & Blogs,11,10265,3.0,2,0
sexii2929,738,People & Blogs,13,5300,5.0,1,0
j122q2,748,Entertainment,4,567,0.0,0,0
AndyRoo17,0,UNA,18,1585,3.4,5,8
taro2147,669,Entertainment,142,71201,3.2,5,1
